feature,mean_abs_shap
out_count_feb,1.2847773064231998
std_bal_march,0.9493595397416237
balance_stability_march,0.8590086767133893
final_balance_march,0.4717665434611471
balance_trend_march,0.3708463745880892
out_count_total,0.3285327721261137
max_bal_march,0.26753741033991646
out_count_jan,0.1651528262506065
mean_bal_march,0.15019753005631084
min_bal_march,0.12316892941444542
zero_balance_days_march,0.11482915826995056
trx_count_decay,0.07900196400050809
balance_drop_march,0.06548368001214808
max_bal_feb,0.05214267451644224
out_sum_feb,0.0428391372438132
min_bal_feb,0.04008581107353324
mean_bal_feb,0.03896096581672861
out_sum_jan,0.03872439377770142
out_sum_total,0.035609750846562795
count_P2P_jan,0.0342570069031803
out_avg_jan,0.03359207140307017
count_CashIn_jan,0.033068734272081984
count_CashIn_total,0.03272713671994241
mean_bal_jan,0.03027078991945628
count_MerchantPay_feb,0.02743542424031899
tenure_days,0.026726338771352835
std_bal_jan,0.026226964190336845
count_MerchantPay_jan,0.022632359968715876
std_bal_feb,0.022217175317235032
in_sum_total,0.02090919288034107
max_bal_jan,0.02042296744028883
in_sum_jan,0.019822069533293768
out_avg_feb,0.019707966589744743
count_MerchantPay_total,0.017167554114503665
count_CashOut_jan,0.015515267107294565
min_bal_jan,0.014808614854783885
count_P2P_feb,0.014014396738593728
merchant_pay_ratio,0.01387849771208048
count_BillPay_jan,0.013439479327039093
bill_pay_ratio,0.013012339404918876
count_CashOut_feb,0.012710652280894342
count_CashIn_feb,0.01144364599022534
count_BillPay_total,0.011364999143874885
count_P2P_total,0.010962738951961714
in_count_jan,0.010509881959587143
count_CashOut_total,0.010060831549349896
count_BillPay_feb,0.009197546497927011
in_sum_feb,0.008276535636266787
in_count_feb,0.005900122268230014
in_count_total,0.005620146674664729
trx_type_diversity,0.003979282849037979
region_Chattogram,0.003803165205210312
region_Rangpur,0.0037942763772913957
region_Dhaka,0.003109426373995984
gender_Female,0.0023361675514428763
region_Sylhet,0.0023175846066114444
region_Khulna,0.0021808861377064183
gender_Male,0.001978447860184415
region_Rajshahi,0.0014477539390291064
region_Barishal,0.0011179781797241556
region_Mymensingh,0.0009913118351305707
gender_Other,0.0006761937403075609
flag_zero_bill_pay,0.0002569736071086528
mean_bal_march_log,3.912463627056947e-05
out_sum_total_log,0.0
in_sum_total_log,0.0
out_avg_feb_log,0.0
std_bal_march_log,0.0
final_balance_march_log,0.0
